#,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat
rb5jd5g5,173.06100,-44.01200
rb5jd7ce,173.07000,-44.01200
rb5jdeb7,173.07900,-44.01200
rb5jdeyg,173.08800,-44.01200
rb5jdgv7,173.09700,-44.01200
rb5je5gg,173.10600,-44.01200
rb5je7f7,173.11500,-44.01200
rb5jeec5,173.12400,-44.01200
rb5jeeze,173.13300,-44.01200
rb5jegy5,173.14200,-44.01200
rb5js5ue,173.15100,-44.01200
rb5js7g7,173.16000,-44.01200
rb5jsecg,173.16900,-44.01200
rb5jsgb7,173.17800,-44.01200
rb5jsgyg,173.18700,-44.01200
rb5jt5v7,173.19600,-44.01200
rb5jt7u5,173.20500,-44.01200
rb5jtefe,173.21400,-44.01200
rb5jtgc5,173.22300,-44.01200
rb5jtgze,173.23200,-44.01200
rb5jw5y5,173.24100,-44.01200
rb5jw7ug,173.25000,-44.01200
rb5jweg7,173.25900,-44.01200
rb5jwgcg,173.26800,-44.01200
rb5jx5b7,173.27700,-44.01200
rb5jx5z5,173.28600,-44.01200
rb5jx7ve,173.29500,-44.01200
rb5jxeu5,173.30400,-44.01200
rb5jxgfe,173.31300,-44.01200
rb5m85c5,173.32200,-44.01200
rb5m85zg,173.33100,-44.01200
rb5m87y7,173.34000,-44.01200
rb5m8eug,173.34900,-44.01200
rb5m8gg7,173.35800,-44.01200
rb5m95cg,173.36700,-44.01200
rb5m97be,173.37600,-44.01200
rb5m97z5,173.38500,-44.01200
rb5m9eve,173.39400,-44.01200
rb4mtt7z,172.16100,-44.00300
rb4mtv6r,172.17000,-44.00300
rb4mwj2z,172.17900,-44.00300
rb4mwjrr,172.18800,-44.00300
rb4mwmqp,172.19700,-44.00300
rb4mwtkx,172.20600,-44.00300
rb4mwv7p,172.21500,-44.00300
rb4mxj3x,172.22400,-44.00300
