#,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
sids,lon,lat,depth,vs30,vs30measured,z1pt0,z2pt5,custom_site_id
244,173.11500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7qfq
245,173.12400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7wcn
246,173.13300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7wzw
247,173.14200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7yyn
248,173.15100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jknuw
249,173.16000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkqgq
250,173.16900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkwcy
251,173.17800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkybq
252,173.18700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkyyy
253,173.19600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jmnvq
